City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
393,Hit,IQ,70.27,clear sky,33.6416,42.8251,صالون زيرو
396,Trairi,BR,80.82,overcast clouds,-3.2778,-39.2689,janelas do mar
401,Japura,ID,73.58,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
405,Cabrobo,BR,84.29,overcast clouds,-8.5142,-39.31,Hotel Limarques
414,Calamar,CO,78.73,overcast clouds,10.2511,-74.9146,Hostal Katyalex
415,The Valley,AI,82.54,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
416,Port Macquarie,AU,73.89,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
420,Chokwe,MZ,76.32,broken clouds,-24.5333,32.9833,Complexo Sonho Real
421,Sulangan,PH,82.58,broken clouds,11.1373,123.7228,Maia's Beach Resort
423,Jawhar,SO,74.59,clear sky,2.7809,45.5005,hantiwadaag village part one
424,Mundra,IN,78.75,broken clouds,22.85,69.7333,Hotel Bansidhar Palace
429,Nishihara,JP,76.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
432,Tete,MZ,83.97,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
433,Kishi,NG,79.23,broken clouds,9.0833,3.85,New NCCF KISI
436,Morondava,MG,73.04,clear sky,-20.2833,44.2833,La Case Bambou
438,Bull Savanna,JM,77.92,few clouds,17.8868,-77.5902,Big Red's
441,Chiredzi,ZW,76.06,overcast clouds,-21.05,31.6667,Clevers Hotel Chiredzi
445,Tabou,CI,78.73,broken clouds,4.423,-7.3528,hotêl doufoulougou
447,Pangkalanbuun,ID,75.97,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
448,Sibolga,ID,75.7,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
450,Payo,ID,72.9,light rain,-3.7508,103.6372,Mess keban agung
452,Ixtapa,MX,83.23,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
454,Gat,IL,73.4,clear sky,31.61,34.7642,OlusHome
455,La Reforma,MX,90.75,scattered clouds,25.0833,-108.05,Hotel Reforma
457,Champasak,LA,71.53,scattered clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
462,Isangel,VU,80.71,light rain,-19.55,169.2667,Tanna Lodge
